listings.id,listings.host_id,listings.property_type,listings.room_type,listings.accommodates,listings.price,listings.security_deposit,listings.cleaning_fee,listings.guests_included,listings.extra_people,listings.minimum_nights,listings.availability_365,listings.cancellation_policy,listings.neighborhood_id
2403733,9656976,P3,R1,6,888,700,300,2,200,3,182,C1,1
2977146,8171478,P1,R1,4,967,744,223,2,0,6,228,C1,1
13388399,27572615,P3,R1,8,200,200,100,5,0,5,15,C2,61
2692069,13607446,P1,R2,1,49,100,10,1,0,2,303,C1,61
13003253,6748447,P1,R1,2,100,250,30,1,0,1,0,C3,61
1556489,8286088,P3,R2,2,60,65,12,1,25,3,365,C3,61
2482853,12702653,P3,R1,6,195,500,135,1,0,3,364,C2,61
10977550,2598187,P1,R2,2,50,150,20,1,0,3,223,C3,61
12208190,18821405,P1,R1,5,170,800,60,4,15,2,364,C2,61
3709549,4787208,P1,R2,1,73,400,30,1,30,3,338,C1,61
8607150,26126111,P1,R2,2,50,80,20,1,10,1,177,C2,61
13413632,8590740,P1,R2,3,60,80,20,2,20,1,144,C2,61
10317748,34577502,P1,R1,7,133,200,50,1,0,6,218,C1,61
15711487,27572615,P1,R1,2,160,160,60,1,0,5,0,C2,65
15998572,27572615,P1,R1,2,120,180,45,1,0,3,247,C2,65
13937618,27572615,P1,R1,2,100,150,45,1,0,5,24,C2,65
14846488,27572615,P1,R1,4,110,165,60,1,0,3,68,C2,65
16094182,27572615,P1,R1,4,120,120,45,1,0,3,38,C2,65
16094730,27572615,P1,R1,2,95,120,45,1,0,5,72,C2,65
15811947,27572615,P1,R1,4,400,400,80,1,0,5,279,C1,65
14902826,27572615,P3,R1,8,390,350,120,1,0,5,59,C2,65
15796005,27572615,P1,R1,4,125,180,60,1,0,4,46,C2,65
16287682,27572615,P1,R1,4,180,180,70,3,30,5,166,C2,65
12359462,27572615,P1,R1,4,140,150,60,1,0,4,22,C2,65
16761978,21681215,P1,R1,8,145,100,55,6,6,1,298,C1,65
15881029,1749375,P1,R1,3,90,500,60,1,0,3,250,C1,65
16185758,1749375,P1,R1,5,250,500,60,1,0,4,333,C1,65
14720353,1749375,P1,R1,4,235,500,60,1,0,3,127,C1,65
11539413,20344572,P1,R1,4,250,180,75,1,50,3,325,C1,65
17326074,116961567,P1,R1,2,85,200,10,1,0,1,62,C3,65
2253191,11507095,P1,R2,3,119,350,60,1,20,2,334,C1,65
17034284,24366999,P1,R1,4,140,250,65,3,15,3,63,C2,65
15374200,101037,P1,R1,4,149,300,57,1,0,1,143,C1,65
2058901,10961046,P1,R1,4,203,500,98,1,0,5,165,C1,65
